Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.7661156,999.0,-2.1334888107246823,-2.1334888107246823,1.0
20000,1.4189383,-0.7167274,999.0,2.2490400803275405,2.2490400803275405,1.0
30000,1.4188154,-0.6387995,999.0,2.1261696407571433,2.1261696407571433,1.0
40000,1.4188083,-0.49684906,999.0,9.082159816258354,9.082159816258354,1.0
50000,1.4187158,-0.45112348,999.0,1.8666001667268575,1.8666001667268575,1.0
60000,1.4187052,-0.4764391,999.0,3.4145692550810054,3.4145692550810054,1.0
70000,1.4188312,-0.4311741,999.0,22.604609702993184,22.604609702993184,1.0
80000,1.4188544,-0.4382167,999.0,32.696688108798114,32.696688108798114,1.0
90000,1.4187115,-0.22665949,999.0,4.0994993826374415,4.0994993826374415,1.0
100000,1.4186751,-0.32747197,999.0,24.668199150124565,24.668199150124565,1.0
110000,1.4186177,-0.10475858,999.0,13.811908938921988,13.811908938921988,1.0
120000,1.4185983,-0.20928967,999.0,31.52782929809764,31.52782929809764,1.0
130000,1.4187087,-0.0798497,999.0,31.813148508872835,31.813148508872835,1.0
140000,1.4187566,-0.094635695,999.0,16.53973928950727,16.53973928950727,1.0
150000,1.4188133,-0.090251304,999.0,9.975629458762706,9.975629458762706,1.0
160000,1.4188443,-0.040742528,999.0,14.205029389541597,14.205029389541597,1.0
170000,1.418794,0.4015859,999.0,128.9197880022228,128.9197880022228,1.0
180000,1.4187602,0.27009764,999.0,98.55304654575885,98.55304654575885,1.0
190000,1.4186988,0.2336258,999.0,28.17836852092296,28.17836852092296,1.0
200000,1.4186478,0.3210033,999.0,407.02759751686824,407.02759751686824,1.0
210000,1.4186221,0.4051539,999.0,25.506979277543724,25.506979277543724,1.0
220000,1.4185964,0.32856905,999.0,18.24497010782361,18.24497010782361,1.0
230000,1.4185581,0.52859914,999.0,41.119559472985564,41.119559472985564,1.0
