Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.81581175,999.0,-147.39085937174968,-147.39085937174968,1.0
20000,1.4189383,0.9810678,999.0,-362.5843538670917,-362.5843538670917,1.0
30000,1.421791,0.43869573,999.0,-3.444737974111922,-3.444737974111922,1.0
40000,1.4219702,0.3863822,999.0,-90.32424944136292,-90.32424944136292,1.0
50000,1.4243944,0.56292975,999.0,-52.27265803685877,-52.27265803685877,1.0
60000,1.4246719,0.44074288,999.0,21.81308806189336,21.81308806189336,1.0
70000,1.4263903,0.3600063,999.0,-23.59229951342568,-23.59229951342568,1.0
80000,1.4267042,0.37758052,999.0,340.3817264889367,340.3817264889367,1.0
90000,1.4271176,0.2434526,999.0,-67.86584062307956,-67.86584062307956,1.0
100000,1.4272233,0.20639654,999.0,-10.010090283909813,-10.010090283909813,1.0
110000,1.4279847,0.30773136,999.0,-95.10605194373056,-95.10605194373056,1.0
120000,1.4282454,0.5031811,999.0,278.3964970694971,278.3964970694971,1.0
130000,1.4275041,0.5112482,999.0,-147.5951084125787,-147.5951084125787,1.0
140000,1.4271718,0.2891644,999.0,-103.1859985576244,-103.1859985576244,1.0
150000,1.4280401,0.33048925,999.0,60.18516312554711,60.18516312554711,1.0
160000,1.4285316,0.5400076,999.0,148.87751225391403,148.87751225391403,1.0
170000,1.4298517,0.22773676,999.0,-125.90523746898398,-125.90523746898398,1.0
180000,1.430764,0.28018636,999.0,-35.25445962001104,-35.25445962001104,1.0
190000,1.4309323,0.40380615,999.0,-101.66843426956329,-101.66843426956329,1.0
200000,1.4310725,0.6395194,999.0,660.6817349491873,660.6817349491873,1.0
210000,1.4319795,0.32761726,999.0,-33.36267571125063,-33.36267571125063,1.0
220000,1.4329166,-0.12305441,999.0,34.80942288804799,34.80942288804799,1.0
230000,1.4338819,0.55297124,999.0,4.073646749625913,4.073646749625913,1.0
240000,1.4351043,0.3379739,999.0,-223.8926280055195,-223.8926280055195,1.0
250000,1.4357115,0.27648786,999.0,84.51889305615332,84.51889305615332,1.0
260000,1.4366333,0.057789106,999.0,-5.734440092928708,-5.734440092928708,1.0
270000,1.4372127,0.03905771,999.0,-211.56465220097454,-211.56465220097454,1.0
280000,1.4383126,0.5239317,999.0,56.75563256974565,56.75563256974565,1.0
290000,1.4387742,0.5581151,999.0,-37.43996970944572,-37.43996970944572,1.0
300000,1.4398649,0.5698098,999.0,29.268041069433092,29.268041069433092,1.0
310000,1.4403976,0.5311008,999.0,-43.470444524008784,-43.470444524008784,1.0
320000,1.4420451,0.23409128,999.0,96.78698121896014,96.78698121896014,1.0
330000,1.4419799,0.65390337,999.0,122.79037364393007,122.79037364393007,1.0
340000,1.4417018,0.04027301,999.0,-135.33998386375606,-135.33998386375606,1.0
350000,1.4419416,0.916087,999.0,198.93934549683473,198.93934549683473,1.0
360000,1.4433626,0.6812049,999.0,-3.2206533677061087,-3.2206533677061087,1.0
370000,1.4435843,1.1278837,999.0,143.65258747455664,143.65258747455664,1.0
380000,1.4456518,-0.10812695,999.0,22.113320480613037,22.113320480613037,1.0
390000,1.4456811,1.6284933,999.0,793.837143600476,793.837143600476,1.0
400000,1.4462823,1.470566,999.0,414.54936053459534,414.54936053459534,1.0
410000,1.4462823,-0.5393678,999.0,-215.00658949720673,-215.00658949720673,1.0
420000,1.4473535,0.24188714,999.0,-73.22282168446108,-73.22282168446108,1.0
430000,1.4473578,0.17521885,999.0,-11.81923633008264,-11.81923633008264,1.0
440000,1.448618,0.46077546,999.0,-100.47870410312899,-100.47870410312899,1.0
450000,1.448691,0.18565635,999.0,160.09169730853756,160.09169730853756,1.0
460000,1.4484172,1.8451735,999.0,81.08219131391961,81.08219131391961,1.0
470000,1.4483836,0.33297703,999.0,-114.40469053405104,-114.40469053405104,1.0
480000,1.449576,0.21746948,999.0,-99.08052450332325,-99.08052450332325,1.0
490000,1.4497947,0.14002983,999.0,10.903171090804971,10.903171090804971,1.0
500000,1.451211,1.7741044,999.0,352.7584442338906,352.7584442338906,1.0
