Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.9564833,999.0,-133.75555386808185,-133.75555386808185,1.0
20000,1.4189383,0.9697927,999.0,-82.24999865218997,-82.24999865218997,1.0
30000,1.418189,0.8978097,999.0,-59.42999550104141,-59.42999550104141,1.0
40000,1.418145,0.9863469,999.0,-43.48999662995338,-43.48999662995338,1.0
50000,1.4199922,0.711281,999.0,-35.429996790736915,-35.429996790736915,1.0
60000,1.420203,0.76113546,999.0,-87.54999996721745,-87.54999996721745,1.0
70000,1.4212018,1.0806627,999.0,-98.04999760836363,-98.04999760836363,1.0
80000,1.4213836,1.2737397,999.0,-47.56999705061317,-47.56999705061317,1.0
90000,1.4231889,0.86022794,999.0,-64.88999733179807,-64.88999733179807,1.0
100000,1.4236453,1.0369928,999.0,-3.0499976515769958,-3.0499976515769958,1.0
110000,1.4243838,1.0030292,999.0,-47.02999681457877,-47.02999681457877,1.0
120000,1.4246362,1.173693,999.0,33.13000517487526,33.13000517487526,1.0
130000,1.4261458,1.1964471,999.0,26.230002689361573,26.230002689361573,1.0
140000,1.4268073,0.85860956,999.0,-5.849997331947089,-5.849997331947089,1.0
150000,1.4289943,1.0412613,999.0,-24.619997680187225,-24.619997680187225,1.0
160000,1.4301966,1.4434562,999.0,13.500003695487976,13.500003695487976,1.0
170000,1.4324036,1.0112871,999.0,-6.629997563362122,-6.629997563362122,1.0
180000,1.4338995,0.97109187,999.0,23.390003275871276,23.390003275871276,1.0
190000,1.4350545,0.8896723,999.0,-22.17999910339713,-22.17999910339713,1.0
200000,1.4360154,1.034242,999.0,3.9900036312639715,3.9900036312639715,1.0
210000,1.436567,0.9429709,999.0,14.250004827976227,14.250004827976227,1.0
220000,1.4371301,0.3213802,999.0,1.040003126859665,1.040003126859665,1.0
230000,1.4386135,1.0218922,999.0,5.140004408359528,5.140004408359528,1.0
240000,1.4404614,0.8599081,999.0,14.780003774166108,14.780003774166108,1.0
250000,1.4409884,0.14482673,999.0,-7.619997751712799,-7.619997751712799,1.0
260000,1.441787,-0.03986413,999.0,2.250003570318222,2.250003570318222,1.0
270000,1.4417349,0.5617156,999.0,39.18000539839268,39.18000539839268,1.0
280000,1.4416382,0.4414176,999.0,-5.649997347593308,-5.649997347593308,1.0
290000,1.4418465,-0.09352942,999.0,-1.5999970778822898,-1.5999970778822898,1.0
